ID,Severity,Area,Original finding,Status,Root-cause correction,Verification
X-01,Critical,Cross-cutting,Tenant error contract differs from the shared API error contract,Fixed,"Standardized Tenant failures on the shared `error.details` contract and retained typed details in `ApiError`, so readiness data is no longer discarded.",Source review + typecheck + ESLint + production build; targeted tests where applicable
X-02,High,Cross-cutting,Errors are shown in one global alert far from the failed action,Fixed,Moved errors into the owning workflow sections and action forms instead of relying on one distant page-level alert.,Source review + typecheck + ESLint + production build; targeted tests where applicable
X-03,High,Cross-cutting,Error precedence can hide the actual action error,Fixed,"Separated load, action, form, and child-panel errors so unrelated failures cannot hide the latest mutation error.",Source review + typecheck + ESLint + production build; targeted tests where applicable
X-04,High,Cross-cutting,"No success feedback exists for create, update, provisioning, domain, subscription, plan, or configuration actions",Fixed,"Added accessible action-specific success notices for tenant, domain, onboarding, subscription, plan, and configuration mutations.",Source review + typecheck + ESLint + production build; targeted tests where applicable
X-05,Medium,Cross-cutting,Reloads clear current data and cause layout/scroll jumps,Fixed,"Retained existing records during refresh and used local loading states, preventing detail disappearance and layout jumps.",Source review + typecheck + ESLint + production build; targeted tests where applicable
X-06,Medium,Cross-cutting,Filter/page/selected state is not persisted in the URL,Fixed,"Persisted operational filters, pagination, and selected tenant state in URL query parameters.",Source review + typecheck + ESLint + production build; targeted tests where applicable
X-07,Medium,Cross-cutting,Date and money formatting are inconsistent,Fixed,"Centralized human-readable money, interval, status, and business-time formatting for the audited screens.",Source review + typecheck + ESLint + production build; targeted tests where applicable
X-08,High,Cross-cutting,"No tests cover SaaS Tenants, Tenant Plans, or Platform Defaults",Fixed,"Added focused API-contract, permission, activation, tenant-form, plan-editor, presentation, and configuration component tests.",Source review + typecheck + ESLint + production build; targeted tests where applicable
T-01,Critical,SaaS Tenants,Activate is not gated by readiness,Fixed,Moved activation into the final readiness step and disabled it until the authoritative readiness endpoint reports ready.,Source review + typecheck + ESLint + production build; targeted tests where applicable
T-02,High,SaaS Tenants,Activation is placed before the required setup workflow,Fixed,Reordered the workflow to Identity → Foundation → Domain → Subscription → Final readiness/activation.,Source review + typecheck + ESLint + production build; targeted tests where applicable
T-03,High,SaaS Tenants,The page is overloaded,Fixed,"Rebuilt the page as a URL-persisted master/detail workflow with staged panels and collapsed creation, reducing cognitive load.",Source review + typecheck + ESLint + production build; targeted tests where applicable
T-04,High,SaaS Tenants,Create form is permanently open for operators with create permission,Fixed,Made tenant creation an explicit collapsed action instead of a permanently open form.,Source review + typecheck + ESLint + production build; targeted tests where applicable
T-05,High,SaaS Tenants,Directory cards omit operational readiness,Fixed,"Added operational tenant-card context for foundation, primary domain, subscription, and status; full blockers remain in the authoritative selected-tenant readiness panel to avoid list N+1 calls.",Source review + typecheck + ESLint + production build; targeted tests where applicable
T-06,High,SaaS Tenants,“Provision tenant foundation” displays full activation readiness,Fixed,Restricted the foundation panel to foundation progress; domain and subscription requirements live in their own stages.,Source review + typecheck + ESLint + production build; targeted tests where applicable
T-07,High,SaaS Tenants,Provisioning state/action wording is incorrect after initial provisioning,Fixed,"Added state-aware Provision, Resume, and Retry wording and behavior.",Source review + typecheck + ESLint + production build; targeted tests where applicable
T-08,High,SaaS Tenants,Tenant form has no field-level server validation,Fixed,Passed server validation to the tenant form and rendered field-level errors next to the responsible controls.,Source review + typecheck + ESLint + production build; targeted tests where applicable
T-09,High,SaaS Tenants,Verify action is available before a DNS challenge is requested,Fixed,Disabled verification until a current DNS challenge has been requested and displayed.,Source review + typecheck + ESLint + production build; targeted tests where applicable
T-10,High,SaaS Tenants,Primary domain can be disabled from the same generic action set,Fixed,Added primary-domain access-impact confirmation and prevented blind destructive actions.,Source review + typecheck + ESLint + production build; targeted tests where applicable
T-11,High,SaaS Tenants,Domain mutations trigger duplicated request chains,Fixed,"Updated domain state locally and coordinated only the necessary parent refresh, removing duplicate list request chains.",Source review + typecheck + ESLint + production build; targeted tests where applicable
T-12,High,SaaS Tenants,Archived/non-draft tenants still expose domain and subscription management controls,Fixed,Removed domain and subscription mutation controls for archived tenants and other invalid lifecycle states.,Source review + typecheck + ESLint + production build; targeted tests where applicable
T-13,High,SaaS Tenants,Subscription UI can only assign the latest plan revision,Fixed,Added exact immutable revision retrieval and selection instead of forcing the latest revision.,Source review + typecheck + ESLint + production build; targeted tests where applicable
T-14,High,SaaS Tenants,Current vs proposed subscription is not compared,Fixed,"Added current/proposed contract comparison, module changes, limits, usage, price, and date impact before assignment.",Source review + typecheck + ESLint + production build; targeted tests where applicable
