ID,Severity,Area,Finding,Status,Root-cause correction,Owner module,Verification,Remaining gate
C-01,Critical,Onboarding / lifecycle,Draft tenant onboarding is not operationally completable through the normal API,Fixed,"Added a platform-owned, idempotent onboarding state machine coordinating owner-module provisioners for root organization, permission catalogue, Super Admin role, auth provider and initial administrator invitation. Added guided readiness and activation stages.",Tenant,Static contract/import checks; frontend guided flow typecheck/build; backend runtime pending vendor.,
C-02,Critical,Domain management / execution context,Tenant-domain creation attempts an illegal tenant-to-control-plane privilege broadening,Fixed,Removed tenant-to-control-plane broadening from domain creation. Global domain uniqueness is enforced by the database and duplicate-key failures are mapped explicitly.,Tenant,Repository/service review; unique domain migration; PHP lint.,
C-03,Critical,Bootstrap / lifecycle integrity,"Bootstrap seeders bypass DNS proof, readiness validation, audit and outbox lifecycle",Fixed,"Deleted the direct activation finalizer. Synthetic verified domains are restricted to local/testing; lifecycle transitions now use readiness, audit and outbox services.",Tenant,Deleted finalizer; seeder environment guard; PHP lint.,
C-04,Critical,Application-wide shared-schema isolation,Tenant isolation cannot be proven for direct Query Builder/raw database access,Residual application-wide release gate,Hardened Tenant/Auth/User/OrganizationUnit/Configuration trust-boundary queries and composite tenant joins. Full shared-schema proof still requires feature-by-feature raw-query inventory and Tenant-A/Tenant-B integration tests across all ERP modules.,All feature modules (Tenant foundation verified separately),Trust-boundary scan; full feature-module adversarial suite remains pending.,Full shared-schema proof still requires feature-by-feature raw-query inventory and Tenant-A/Tenant-B integration tests across all ERP modules.
H-01,High,Lifecycle / repository context,Primary-domain lookup depends on ambient execution context,Fixed,Platform and console lifecycle entry points establish explicit control-plane context; tenant-specific operations establish explicit tenant context.,Tenant,Console/platform caller scan; PHP lint.,
H-02,High,Control plane / host isolation,Platform authentication and administration routes are not restricted to trusted central hosts,Fixed,Added a fail-closed central-host policy and middleware to all platform authentication and administration routes.,Tenant,PlatformHostPolicyTest added; platform route scan.,
H-03,High,Host resolution,Loopback hosts are treated as neutral in every environment,Fixed,Loopback hosts are accepted only in local/testing. Production requires the configured central-host allowlist.,Tenant,PlatformHostPolicyTest added; resolver policy scan.,
H-04,High,Authentication boundary,Tenant and platform refresh sessions share one cookie namespace,Fixed,"Separated tenant and platform refresh cookies by name and narrow path, with explicit secure/same-site parsing.",Tenant,Config/controller scan; frontend auth typecheck/tests.,
H-05,High,Tenant user admission,Public tenant registration is not controlled by a tenant policy and password validation permits one character,Fixed,"Added typed registration modes, invitation enforcement, approved-domain policy, strong shared password policy and canonical versioned auth routes.",Auth / Configuration / Tenant,Registration policy/request/workflow scan; PHP lint.,
H-06,High,Background execution,No tenant-aware queue/job execution contract exists,Fixed,Added TenantJobContext and restore/clear middleware contract for tenant-aware asynchronous execution.,Tenant,TenantJobContextTest added; queue middleware scan.,
